"","x"
"409",3.52359090434695
"410",3.64469307779471
"411",NA
"412",2.39080273722361
"413",2.39080273722361
"414",3.95496718593536
"415",4.43778555012703
"416",2.37282561381198
"417",7.18958297262526
"418",NA
"419",4.10453453356485
"420",NA
"421",NA
"422",2.39080273722361
"423",2.73114836090574
"424",NA
"425",2.03279290282514
"426",2.39080273722361
"427",3.26032591748595
"428",NA
"429",4.53989598163296
"430",4.5686418365692
"431",6.1199124963953
"432",4.7179480196023
"433",1.86846854602411
"434",NA
"435",1.96173685007665
"436",2.03279290282514
"437",2.03279290282514
"438",4.53989598163296
"439",NA
"440",2.17496580024659
"441",1.40027376898199
"442",5.1451295987888
"443",2.81129440867122
"444",1.71059940710927
"445",4.5453500023277
"446",2.39080273722361
"447",NA
"448",3.22385556675396
"449",NA
"450",4.5453500023277
"451",0.938957400421286
"452",3.52359090434695
"453",NA
"454",NA
"455",2.72514770303965
"456",3.64469307779471
"457",NA
"458",2.17496580024659
"459",5.01379000419772
"460",3.03907767919904
"461",5.1451295987888
"462",3.52359090434695
"463",NA
"464",3.38588357174178
"465",3.38588357174178
"466",NA
"467",1.71059940710927
"468",4.34476248636611
"469",3.65045979468846
"470",2.96790110235081
"471",NA
"472",1.43037319649212
"473",NA
"474",2.81129440867122
"475",NA
"476",2.49473686984532
"477",3.95496718593536
"478",4.05178728885133
"479",4.10453453356485
"480",2.81129440867122
"481",2.1659354347993
"482",NA
"483",5.01379000419772
"484",NA
"485",0.938957400421286
"486",NA
"487",2.89137191134788
"488",NA
"489",NA
"490",NA
"491",NA
"492",NA
"493",5.1451295987888
"494",3.38588357174178
"495",NA
"496",3.52359090434695
"497",2.81129440867122
"498",NA
"499",4.10453453356485
"500",3.52359090434695
"501",NA
"502",NA
"503",1.86846854602411
"504",3.52359090434695
"505",3.52359090434695
"506",2.72514770303965
"507",2.17496580024659
"508",2.39080273722361
"509",5.1451295987888
"510",4.34476248636611
"511",3.52359090434695
"512",2.03279290282514
"513",NA
"514",5.1451295987888
"515",5.1451295987888
"516",2.72514770303965
"517",4.34476248636611
"518",3.81176733677149
"519",3.26032591748595
"520",3.38588357174178
"521",2.39080273722361
"522",1.86846854602411
"523",NA
"524",1.40027376898199
"525",4.14862028125679
"526",4.10453453356485
"527",2.03279290282514
"528",4.14862028125679
"529",2.72514770303965
"530",NA
"531",5.01379000419772
"532",3.52359090434695
"533",3.38588357174178
"534",NA
"535",5.1451295987888
"536",NA
"537",3.52359090434695
"538",4.05178728885133
"539",NA
"540",NA
"541",3.11228499783218
"542",NA
"543",NA
"544",1.40027376898199
"545",2.89137191134788
"546",NA
"547",5.19141368304742
"548",NA
"549",2.39080273722361
"550",2.03279290282514
"551",3.22385556675396
"552",5.39374267930573
"553",1.00261086183173
"554",3.95496718593536
"555",0.542822089576911
"556",NA
"557",2.89137191134788
"558",NA
"559",3.52359090434695
"560",NA
"561",3.8570408631848
"562",2.03279290282514
"563",NA
"564",2.22469085717327
"565",3.38588357174178
"566",2.62933648899007
"567",NA
"568",2.39080273722361
"569",NA
"570",4.14862028125679
"571",3.52359090434695
"572",3.22385556675396
"573",3.6217950731516
"574",1.86846854602411
"575",7.35836840018286
"576",5.27374693449528
"577",2.72514770303965
"578",NA
"579",5.1451295987888
"580",4.05178728885133
"581",1.43037319649212
"582",2.39080273722361
"583",3.95496718593536
"584",NA
"585",4.43778555012703
"586",4.10453453356485
"587",1.86846854602411
"588",5.64976756734226
"589",2.86994197578964
"590",NA
"591",5.01379000419772
"592",3.38588357174178
"593",4.14862028125679
"594",3.38588357174178
"595",2.72514770303965
"596",NA
"597",3.18588424725944
"598",3.38588357174178
"599",2.50044809658385
"600",2.17496580024659
"601",NA
"602",NA
"603",1.86846854602411
"604",0.938957400421286
"605",1.43037319649212
"606",0.938957400421286
"607",2.03279290282514
"608",1.51019085369346
"609",NA
"610",5.01379000419772
"611",NA
"612",3.52359090434695
"613",2.72514770303965
"614",NA
"615",NA
"616",4.75368965800092
"617",5.64976756734226
"618",6.51291571294296
"619",NA
"620",NA
"621",NA
"622",NA
"623",4.05178728885133
"624",5.1451295987888
"625",NA
"626",3.64469307779471
"627",4.87694007520773
"628",4.73050424454207
"629",2.39080273722361
"630",3.38588357174178
"631",1.84952040034558
"632",5.1451295987888
"633",NA
"634",3.38588357174178
"635",2.17496580024659
"636",3.52359090434695
"637",3.38588357174178
"638",5.91389846143531
"639",NA
"640",NA
"641",NA
"642",3.8570408631848
"643",NA
"644",2.17496580024659
"645",NA
"646",NA
"647",5.1451295987888
"648",5.64976756734226
"649",NA
"650",6.32498990620058
"651",4.14862028125679
"652",5.52097357448124
"653",4.34476248636611
"654",4.87694007520773
"655",2.39080273722361
"656",5.1451295987888
"657",NA
"658",NA
"659",NA
"660",NA
"661",2.96790110235081
"662",1.96173685007665
"663",3.64469307779471
"664",5.1451295987888
"665",3.75635155246901
"666",NA
"667",1.65067306219129
"668",3.95496718593536
"669",3.95496718593536
"670",NA
"671",2.49473686984532
"672",1.86846854602411
"673",2.72514770303965
"674",2.81129440867122
"675",1.65067306219129
"676",4.05178728885133
"677",4.05178728885133
"678",2.35071039962414
"679",2.39080273722361
"680",NA
"681",3.38588357174178
"682",2.03279290282514
"683",3.81176733677149
"684",4.43778555012703
"685",4.53989598163296
"686",3.75635155246901
"687",NA
"688",2.37282561381198
"689",5.1451295987888
"690",3.52359090434695
"691",2.70431845997292
"692",5.1451295987888
"693",1.71059940710927
"694",3.38588357174178
"695",3.53582148899608
"696",2.89137191134788
"697",4.75368965800092
"698",1.86846854602411
"699",1.86846854602411
"700",2.39080273722361
"701",NA
"702",NA
"703",1.71059940710927
"704",3.64469307779471
"705",3.75635155246901
"706",2.39080273722361
"707",3.03907767919904
"708",NA
"709",2.39080273722361
"710",3.64469307779471
"711",2.72514770303965
"712",4.34476248636611
"713",NA
"714",NA
"715",3.64469307779471
"716",4.53989598163296
"717",NA
"718",2.86994197578964
"719",4.73050424454207
"720",2.81129440867122
"721",2.17496580024659
"722",2.70431845997292
"723",NA
"724",2.39080273722361
"725",NA
"726",NA
"727",NA
"728",NA
"729",2.89137191134788
"730",5.64976756734226
"731",NA
"732",3.38588357174178
"733",3.11228499783218
"734",2.03279290282514
"735",3.38588357174178
"736",2.81129440867122
"737",4.05178728885133
"738",NA
"739",4.73050424454207
"740",2.39080273722361
"741",3.22385556675396
"742",3.52359090434695
"743",4.34476248636611
"744",2.81129440867122
"745",2.39080273722361
"746",3.11228499783218
"747",1.96173685007665
"748",NA
"749",2.72514770303965
"750",NA
"751",2.37282561381198
"752",1.40027376898199
"753",1.40027376898199
"754",3.11228499783218
"755",NA
"756",3.38588357174178
"757",3.18588424725944
"758",3.22385556675396
"759",3.03314488589561
"760",1.86846854602411
"761",NA
"762",NA
"763",2.39080273722361
"764",1.27552937846908
"765",4.34476248636611
"766",4.14862028125679
"767",3.38588357174178
"768",3.52359090434695
"769",NA
"770",3.38588357174178
"771",2.37282561381198
"772",6.1199124963953
"773",4.34476248636611
"774",2.03279290282514
"775",3.95496718593536
"776",5.01379000419772
"777",2.89137191134788
"778",1.86846854602411
"779",1.27552937846908
"780",NA
"781",4.64412223321429
"782",4.53989598163296
"783",2.17496580024659
"784",3.95496718593536
"785",4.43778555012703
"786",3.38588357174178
"787",1.40027376898199
"788",4.10453453356485
"789",NA
"790",3.38588357174178
"791",4.34476248636611
"792",3.52359090434695
"793",5.1451295987888
"794",NA
"795",4.05178728885133
"796",5.1451295987888
"797",1.86846854602411
"798",5.1451295987888
"799",NA
"800",NA
"801",3.52359090434695
"802",5.01379000419772
"803",NA
"804",3.38588357174178
"805",2.70431845997292
"806",5.01379000419772
"807",2.03279290282514
"808",2.17496580024659
"809",2.03279290282514
"810",3.52359090434695
"811",NA
"812",2.03279290282514
"813",3.52359090434695
"814",NA
"815",2.39080273722361
"816",5.8456948319668
"817",NA
"818",2.1659354347993
"819",NA
"820",5.1451295987888
"821",NA
"822",1.00261086183173
"823",4.34476248636611
"824",2.70431845997292
"825",5.78062522053913
"826",2.37282561381198
"827",NA
"828",1.86846854602411
"829",4.05178728885133
"830",2.35071039962414
"831",5.01379000419772
"832",6.51291571294296
"833",NA
"834",5.27374693449528
"835",2.70431845997292
"836",3.52359090434695
"837",NA
"838",NA
"839",1.96173685007665
"840",2.37282561381198
"841",5.1451295987888
"842",5.01379000419772
"843",3.38588357174178
"844",2.72514770303965
"845",0.661985664353714
"846",5.01379000419772
"847",3.52359090434695
"848",2.39080273722361
"849",NA
"850",0.661985664353714
"851",3.52359090434695
"852",NA
"853",1.86846854602411
"854",3.52359090434695
"855",2.81129440867122
"856",1.27552937846908
"857",1.96173685007665
"858",4.05178728885133
"859",NA
"860",2.39080273722361
"861",1.00261086183173
"862",5.1451295987888
"863",1.96173685007665
"864",2.35071039962414
"865",5.1451295987888
"866",3.95496718593536
"867",NA
"868",NA
"869",1.86846854602411
"870",2.22469085717327
"871",NA
"872",2.70431845997292
"873",2.81129440867122
"874",NA
"875",3.95496718593536
"876",2.81129440867122
"877",NA
"878",0.938957400421286
"879",NA
"880",2.03279290282514
"881",4.10453453356485
"882",4.05178728885133
"883",5.1451295987888
"884",2.17496580024659
"885",NA
"886",NA
"887",1.96173685007665
"888",NA
"889",3.81176733677149
"890",3.52359090434695
"891",1.96173685007665
"892",3.64469307779471
"893",NA
"894",4.05178728885133
"895",NA
"896",2.62933648899007
"897",2.39080273722361
"898",1.71059940710927
"899",3.22385556675396
"900",NA
"901",1.14015679972054
"902",1.73208865409529
"903",3.52359090434695
"904",1.65067306219129
"905",5.78062522053913
"906",1.84952040034558
"907",2.17496580024659
"908",5.1451295987888
"909",5.01379000419772
"910",3.38588357174178
"911",NA
"912",4.10453453356485
"913",1.71059940710927
"914",3.81176733677149
"915",2.03279290282514
"916",3.95496718593536
"917",6.69044742750859
"918",NA
"919",NA
"920",5.78062522053913
"921",3.38588357174178
"922",3.38588357174178
"923",5.52097357448124
"924",1.96173685007665
"925",NA
"926",2.03279290282514
"927",3.52359090434695
"928",4.14862028125679
"929",2.39080273722361
"930",2.17496580024659
"931",3.64469307779471
"932",1.71059940710927
"933",NA
"934",2.03279290282514
"935",1.58872502378771
"936",1.86846854602411
"937",2.72514770303965
"938",2.17496580024659
"939",4.38326506195928
"940",3.22385556675396
"941",1.65067306219129
"942",3.52359090434695
"943",1.73208865409529
"944",NA
"945",1.96173685007665
"946",7.02230854014306
"947",NA
"948",5.40153010181993
"949",3.22385556675396
"950",5.78062522053913
"951",2.81129440867122
"952",3.64469307779471
"953",3.52359090434695
"954",NA
"955",NA
"956",1.84952040034558
"957",2.39080273722361
"958",4.05178728885133
"959",3.38588357174178
"960",2.03279290282514
"961",7.18958297262526
"962",4.05178728885133
"963",NA
"964",NA
"965",NA
"966",4.10453453356485
"967",3.22385556675396
"968",NA
"969",4.34476248636611
"970",3.38588357174178
"971",4.64412223321429
"972",2.89137191134788
"973",3.95496718593536
"974",3.18588424725944
"975",5.78062522053913
"976",NA
"977",2.81129440867122
"978",4.33763023257574
"979",NA
"980",3.18588424725944
"981",1.86846854602411
"982",5.1451295987888
"983",NA
"984",3.95496718593536
"985",3.38588357174178
"986",4.34476248636611
"987",NA
"988",3.52359090434695
"989",2.70431845997292
"990",2.17496580024659
"991",4.43778555012703
"992",NA
"993",2.39080273722361
"994",2.39080273722361
"995",2.35071039962414
"996",3.95496718593536
"997",NA
"998",4.05178728885133
"999",1.65067306219129
"1000",3.52359090434695
"1001",3.38588357174178
"1002",2.39080273722361
"1003",1.51019085369346
"1004",7.02230854014306
"1005",2.37282561381198
"1006",NA
"1007",4.10453453356485
"1008",5.52097357448124
"1009",2.39080273722361
"1010",2.17496580024659
"1011",1.65067306219129
"1012",4.14862028125679
"1013",NA
"1014",2.03279290282514
"1015",3.95496718593536
"1016",1.65067306219129
"1017",3.52359090434695
"1018",5.01379000419772
"1019",2.16338321066251
"1020",4.34476248636611
"1021",2.86994197578964
"1022",3.38588357174178
"1023",2.17496580024659
"1024",3.02815834755291
"1025",1.96173685007665
"1026",4.10453453356485
"1027",NA
"1028",3.03907767919904
"1029",3.52359090434695
"1030",NA
"1031",6.69044742750859
"1032",2.39080273722361
"1033",NA
"1034",NA
"1035",4.05178728885133
"1036",3.52359090434695
"1037",4.10453453356485
"1038",2.70431845997292
"1039",NA
"1040",2.17496580024659
"1041",2.81129440867122
"1042",2.22469085717327
"1043",4.05178728885133
"1044",3.8570408631848
"1045",3.52359090434695
"1046",2.44630399033064
"1047",5.01379000419772
"1048",1.65067306219129
"1049",3.22385556675396
"1050",2.17496580024659
"1051",1.71059940710927
"1052",3.38588357174178
"1053",NA
"1054",2.03279290282514
"1055",4.5453500023277
"1056",3.52359090434695
"1057",1.96173685007665
"1058",NA
"1059",NA
"1060",2.17496580024659
"1061",2.35071039962414
"1062",NA
"1063",5.1451295987888
"1064",1.96173685007665
"1065",2.39080273722361
"1066",NA
"1067",NA
"1068",1.96173685007665
"1069",NA
"1070",2.39080273722361
"1071",3.38588357174178
"1072",3.75635155246901
"1073",4.87694007520773
"1074",4.34476248636611
"1075",NA
"1076",1.94643494681643
"1077",5.01379000419772
"1078",3.52359090434695
"1079",2.33779159750701
"1080",4.05178728885133
"1081",1.71059940710927
"1082",3.8570408631848
"1083",NA
"1084",6.51291571294296
"1085",3.38588357174178
"1086",NA
"1087",3.52359090434695
"1088",2.03279290282514
"1089",2.81129440867122
"1090",2.72514770303965
"1091",NA
"1092",3.18588424725944
"1093",2.39080273722361
"1094",4.10453453356485
"1095",1.58872502378771
"1096",NA
"1097",NA
"1098",3.64469307779471
"1099",NA
"1100",NA
"1101",1.86846854602411
"1102",3.52359090434695
"1103",NA
"1104",4.5686418365692
"1105",2.81129440867122
"1106",5.01379000419772
"1107",3.64469307779471
"1108",4.10453453356485
"1109",1.86846854602411
"1110",5.01379000419772
"1111",2.0746346038001
"1112",2.03279290282514
"1113",NA
"1114",4.53989598163296
"1115",NA
"1116",2.81129440867122
"1117",2.86994197578964
"1118",5.01379000419772
"1119",2.39080273722361
"1120",3.52359090434695
"1121",3.52359090434695
"1122",NA
"1123",1.96173685007665
"1124",NA
"1125",4.05178728885133
"1126",4.10453453356485
"1127",NA
"1128",2.81129440867122
"1129",NA
"1130",3.38588357174178
"1131",NA
"1132",5.55004818930851
"1133",NA
"1134",NA
"1135",2.72514770303965
"1136",NA
"1137",1.86846854602411
"1138",NA
"1139",1.73208865409529
"1140",NA
"1141",3.8570408631848
"1142",6.32498990620058
"1143",2.35071039962414
"1144",NA
"1145",2.39080273722361
"1146",3.38588357174178
"1147",NA
"1148",7.35836840018286
"1149",3.95496718593536
"1150",5.27374693449528
"1151",3.18588424725944
"1152",1.71059940710927
"1153",5.26734807899551
"1154",2.03279290282514
"1155",3.95496718593536
"1156",4.34476248636611
"1157",2.81129440867122
"1158",4.34476248636611
"1159",4.05178728885133
"1160",3.64469307779471
"1161",5.1451295987888
"1162",0.712572469105549
"1163",6.1199124963953
"1164",NA
"1165",2.62933648899007
"1166",4.34476248636611
"1167",2.03279290282514
"1168",5.78062522053913
"1169",5.1451295987888
"1170",3.95496718593536
"1171",5.01379000419772
"1172",2.17496580024659
"1173",NA
"1174",3.52359090434695
"1175",2.28163342111316
"1176",0.938957400421286
"1177",1.96173685007665
"1178",5.78062522053913
"1179",3.52359090434695
"1180",4.75368965800092
"1181",NA
"1182",5.1451295987888
"1183",2.62933648899007
"1184",1.86846854602411
"1185",1.96173685007665
"1186",7.18958297262526
"1187",NA
"1188",3.95496718593536
"1189",2.17496580024659
"1190",NA
"1191",1.65067306219129
"1192",4.34476248636611
"1193",2.39080273722361
"1194",3.64469307779471
"1195",NA
"1196",1.96173685007665
"1197",3.52359090434695
"1198",5.91389846143531
"1199",2.72514770303965
"1200",3.38588357174178
"1201",5.01379000419772
"1202",2.89137191134788
"1203",2.70431845997292
"1204",2.37282561381198
"1205",NA
"1206",3.38588357174178
"1207",3.38588357174178
"1208",2.89137191134788
"1209",5.78062522053913
"1210",3.95496718593536
"1211",2.22786439727114
"1212",3.52359090434695
"1213",2.03279290282514
"1214",2.17496580024659
"1215",3.18588424725944
"1216",NA
"1217",NA
"1218",NA
"1219",3.22385556675396
"1220",0.45053150972346
"1221",2.35071039962414
"1222",2.03279290282514
"1223",NA
"1224",NA
"1225",NA
"1226",2.70431845997292
"1227",5.78062522053913
"1228",NA
"1229",4.43778555012703
"1230",2.39080273722361
"1231",3.03907767919904
"1232",NA
"1233",3.52359090434695
"1234",2.81129440867122
"1235",3.64469307779471
"1236",NA
"1237",2.81129440867122
"1238",2.70431845997292
"1239",1.27552937846908
"1240",3.52359090434695
"1241",7.02230854014306
"1242",2.35071039962414
"1243",4.43778555012703
"1244",NA
"1245",1.86846854602411
"1246",5.1451295987888
"1247",3.03314488589561
"1248",2.03279290282514
"1249",NA
"1250",0.302115865083847
"1251",3.8570408631848
"1252",NA
"1253",2.39080273722361
"1254",3.64469307779471
"1255",1.40027376898199
"1256",5.1451295987888
"1257",4.05178728885133
"1258",NA
"1259",3.38588357174178
"1260",5.1451295987888
"1261",4.05178728885133
"1262",3.38588357174178
"1263",2.39080273722361
"1264",4.05178728885133
"1265",2.03279290282514
"1266",NA
"1267",2.03279290282514
"1268",3.52359090434695
"1269",NA
"1270",5.26734807899551
"1271",2.03279290282514
"1272",NA
"1273",2.17496580024659
"1274",2.22469085717327
"1275",2.55644560691917
"1276",4.10453453356485
"1277",2.35071039962414
"1278",3.38588357174178
"1279",3.8570408631848
"1280",NA
"1281",2.17496580024659
"1282",2.03279290282514
"1283",2.81129440867122
"1284",1.71059940710927
"1285",NA
"1286",3.38588357174178
"1287",NA
"1288",NA
"1289",2.81129440867122
"1290",NA
"1291",3.38588357174178
"1292",3.22385556675396
"1293",NA
"1294",3.81176733677149
"1295",NA
"1296",4.34476248636611
"1297",3.38588357174178
"1298",NA
"1299",2.70431845997292
"1300",2.17496580024659
"1301",4.53989598163296
"1302",1.96173685007665
"1303",4.75368965800092
"1304",3.81176733677149
"1305",3.64469307779471
"1306",NA
"1307",3.52359090434695
"1308",2.39080273722361
"1309",2.44630399033064
"1310",3.18588424725944
"1311",3.33591940006889
"1312",NA
"1313",4.5453500023277
"1314",3.18588424725944
"1315",4.34476248636611
"1316",NA
"1317",3.22385556675396
"1318",2.39080273722361
"1319",NA
"1320",4.34476248636611
"1321",NA
"1322",2.72514770303965
"1323",5.01379000419772
"1324",1.58872502378771
"1325",4.14862028125679
"1326",NA
"1327",NA
"1328",2.0746346038001
"1329",2.35071039962414
"1330",NA
"1331",4.23921304938012
"1332",5.1451295987888
"1333",3.52359090434695
"1334",4.5686418365692
"1335",7.18958297262526
"1336",2.17496580024659
"1337",3.95496718593536
"1338",NA
"1339",3.52359090434695
"1340",NA
"1341",2.39080273722361
"1342",3.95496718593536
"1343",4.10453453356485
"1344",4.10453453356485
"1345",3.52359090434695
"1346",3.52359090434695
"1347",4.34476248636611
"1348",4.10453453356485
"1349",6.32498990620058
"1350",2.81129440867122
"1351",NA
"1352",2.72514770303965
"1353",4.53989598163296
"1354",4.34476248636611
"1355",2.35071039962414
"1356",NA
"1357",NA
"1358",5.1451295987888
"1359",3.52359090434695
"1360",2.81129440867122
"1361",3.52359090434695
"1362",2.22469085717327
"1363",4.05178728885133
"1364",5.64976756734226
"1365",6.32498990620058
"1366",2.81129440867122
"1367",2.72514770303965
"1368",NA
"1369",2.17496580024659
"1370",5.8456948319668
"1371",2.37282561381198
"1372",2.39080273722361
"1373",3.38588357174178
"1374",2.17496580024659
"1375",NA
"1376",NA
"1377",4.24622294180338
"1378",2.72514770303965
"1379",1.65067306219129
"1380",NA
"1381",1.94643494681643
"1382",3.38588357174178
"1383",5.78062522053913
"1384",1.43037319649212
"1385",4.53989598163296
"1386",NA
"1387",1.27552937846908
"1388",5.27374693449528
"1389",2.17496580024659
"1390",4.5453500023277
"1391",3.03907767919904
"1392",1.96173685007665
"1393",NA
